number,discovery_date,discovery_site,discoverer,category,diameter_km
2957,"February 5, 1934",Heidelberg,K. Reinmuth,EOS,22.0
2958,"February 28, 1981",La Silla,"H. Debehogne , G. de Sanctis",KOR,8.9
2959,"September 4, 1983",Anderson Mesa,E. Bowell,T j (2.99) · 3:2,33.0
2960,"February 18, 1977",Kiso,"H. Kosai , K. Furukawa",·,5.3
2961,"December 7, 1982",Geisei,T. Seki,(2076),5.7
2962,"December 28, 1940",Turku,Y. Väisälä,MAR,17.0
2963,"November 9, 1964",Nanking,Purple Mountain,KOR,9.5
2964,"July 16, 1974",El Leoncito,Félix Aguilar Observatory,EUN,7.9
2965,"January 18, 1975",Nauchnij,L. I. Chernykh,PHO,8.7
2966,"March 13, 1977",Nauchnij,N. S. Chernykh,moon,5.9
2967,"September 19, 1977",Nauchnij,N. S. Chernykh,URS,33.0
2968,"August 31, 1978",Nauchnij,N. S. Chernykh,·,4.5
2969,"September 5, 1978",Nauchnij,N. S. Chernykh,KOR,8.3
2970,"October 27, 1978",Zimmerwald,P. Wild,EUN · slow,6.9
2971,"December 30, 1980",Kleť,A. Mrkos,·,5.2
2972,"October 7, 1939",Turku,Y. Väisälä,·,4.7
2973,"January 10, 1951",Uccle,S. J. Arend,·,12.0
2974,"August 23, 1955",Brooklyn,Indiana University,V · slow,5.9
2975,"January 8, 1970",Cerro El Roble,"H. Potter , Lokalov, A.",·,5.9
2976,"April 22, 1974",Cerro El Roble,C. Torres,CYB,46.0
2977,"September 19, 1974",Nauchnij,L. I. Chernykh,GEF,9.0
2978,"September 26, 1978",Harvard Observatory,Harvard Observatory,THM,19.0
2979,"October 2, 1978",Nauchnij,L. V. Zhuravleva,·,21.0
2980,"March 2, 1981",Siding Spring,S. J. Bus,RAF,5.1
2981,"March 2, 1981",Siding Spring,S. J. Bus,THM,15.0
2982,"May 6, 1981",Palomar,C. S. Shoemaker,EOS,15.0
2983,"September 2, 1981",Nauchnij,N. S. Chernykh,·,31.0
2984,"December 30, 1981",Anderson Mesa,E. Bowell,NYS,15.0
2985,"October 12, 1983",Anderson Mesa,E. Bowell,KOR,10.0
2986,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",·,19.0
2987,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",·,18.0
2988,"March 1, 1943",Turku,L. Oterma,EUN,14.0
2989,"October 22, 1976",Zimmerwald,P. Wild,·,6.0
2990,"March 2, 1981",Siding Spring,S. J. Bus,NYS ·,11.0
2991,"April 21, 1982",Anderson Mesa,"Watt, M.",·,7.8
2992,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",·,11.0
2993,"August 4, 1970",Bickley,Perth Observatory,EUN,11.0
2994,"August 14, 1975",Bickley,Perth Observatory,·,6.8
2995,"August 31, 1978",Nauchnij,N. S. Chernykh,·,17.0
2996,"September 5, 1954",Brooklyn,Indiana University,HOF ·,20.0
2997,"June 17, 1974",El Leoncito,Félix Aguilar Observatory,·,8.3
2998,"October 3, 1975",Nauchnij,L. I. Chernykh,NYS,4.3
2999,"February 6, 1981",Anderson Mesa,N. G. Thomas,BAP,6.9
3000,"March 2, 1981",Siding Spring,S. J. Bus,·,9.8
3001,"January 24, 1982",Anderson Mesa,E. Bowell,PHO,7.6
3002,"March 20, 1982",La Silla,H. Debehogne,·,6.3
3003,"December 28, 1983",Kleť,A. Mrkos,EOS,19.0
3004,"February 27, 1976",La Silla,R. M. West,·,3.5
3005,"August 22, 1979",La Silla,C.-I. Lagerkvist,NYS,4.8
3006,"September 24, 1979",Nauchnij,N. S. Chernykh,NYS ·,8.3
3007,"October 17, 1979",Anderson Mesa,E. Bowell,·,11.0
3008,"November 17, 1938",Heidelberg,K. Reinmuth,THM,20.0
3009,"September 22, 1973",Nauchnij,N. S. Chernykh,·,3.8
3010,"September 27, 1978",Nauchnij,L. I. Chernykh,THM,14.0
3011,"November 26, 1978",Nanking,Purple Mountain,·,12.0
3012,"August 27, 1979",Nauchnij,N. S. Chernykh,·,21.0
3013,"September 23, 1979",Nauchnij,N. S. Chernykh,·,11.0
3014,"October 11, 1979",Nanking,Purple Mountain,·,6.9
3015,"November 9, 1980",Anderson Mesa,E. Bowell,CYB,25.0
3016,"March 1, 1981",La Silla,"H. Debehogne , G. de Sanctis",KOR,9.9
3017,"October 25, 1981",Kleť,A. Mrkos,EUN,13.0
3018,"May 21, 1982",Anderson Mesa,E. Bowell,·,8.2
3019,"January 7, 1940",Konkoly,G. Kulin,KOR,12.0
3020,"August 2, 1949",Heidelberg,K. Reinmuth,slow,12.0
3021,"February 6, 1967",Zimmerwald,P. Wild,·,24.0
3022,"September 16, 1980",Kleť,Z. Vávrová,H,3.2
3023,"May 5, 1981",Anderson Mesa,E. Bowell,·,5.0
3024,"October 23, 1981",Nanking,Purple Mountain,CYB,37.0
3025,"August 20, 1982",Palomar,"C. S. Shoemaker , E. M. Shoemaker",(3025),46.0
3026,"October 12, 1977",Zimmerwald,P. Wild,·,16.0
3027,"August 8, 1978",Nauchnij,N. S. Chernykh,MIS,13.0
3028,"October 9, 1978",Nanking,Purple Mountain,EOS,26.0
3029,"March 1, 1981",Siding Spring,S. J. Bus,·,6.0
3030,"March 1, 1981",Siding Spring,S. J. Bus,·,4.3
3031,"February 8, 1984",Anderson Mesa,E. Bowell,·,6.4
3032,"February 8, 1984",Anderson Mesa,E. Bowell,KOR,14.0
3033,"March 5, 1984",Brorfelde,"K. Augustesen , P. Jensen , Fogh Olsen, H. J.",slow,8.4
3034,"September 24, 1917",Heidelberg,M. F. Wolf,moon,10.0
3035,"March 7, 1924",Heidelberg,K. Reinmuth,·,14.0
3036,"October 11, 1937",Crimea-Simeis,G. N. Neujmin,·,43.0
3037,"January 17, 1944",Turku,Y. Väisälä,·,30.0
3038,"August 31, 1978",Nauchnij,N. S. Chernykh,·,3.6
3039,"September 26, 1978",Nauchnij,L. V. Zhuravleva,·,9.4
3040,"January 23, 1979",Cerro Tololo,W. Liller,·,3.4
3041,"April 15, 1980",Anderson Mesa,E. Bowell,EUN,8.2
3042,"March 1, 1981",Siding Spring,S. J. Bus,·,4.6
3043,"September 20, 1982",Palomar,E. F. Helin,H · slow,5.0
3044,"September 2, 1983",Nauchnij,"Metlova, N. V., N. E. Kuročkin",·,25.0
3045,"January 8, 1984",Anderson Mesa,"Wagner, J.",·,27.0
3046,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",·,21.0
3047,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",·,5.8
3048,"October 8, 1964",Nanking,Purple Mountain,NYS,6.3
3049,"March 28, 1968",Nauchnij,T. M. Smirnova,THM,20.0
3050,"July 13, 1972",Cerro El Roble,C. Torres,·,4.3
3051,"December 19, 1974",Nanking,Purple Mountain,·,16.0
3052,"December 16, 1976",Nauchnij,L. I. Chernykh,·,11.0
3053,"August 18, 1977",Nauchnij,N. S. Chernykh,·,3.5
3054,"September 11, 1977",Nauchnij,N. S. Chernykh,THM,27.0
3055,"October 4, 1978",Nauchnij,T. M. Smirnova,MAR,9.4
3056,"November 1, 1978",Caussols,K. Tomita,slow,5.2
3057,"March 9, 1981",Anderson Mesa,E. Bowell,·,5.1
3058,"March 1, 1981",Siding Spring,S. J. Bus,·,4.1
3059,"March 3, 1981",Siding Spring,S. J. Bus,·,5.2
3060,"September 12, 1982",Zimmerwald,P. Wild,·,7.1
3061,"October 21, 1982",Anderson Mesa,E. Bowell,THM · slow,23.0
3062,"December 14, 1982",Anderson Mesa,E. Bowell,EOS,23.0
3063,"August 4, 1983",Nauchnij,L. G. Karachkina,L4,112.0
3064,"January 28, 1984",Anderson Mesa,E. Bowell,NYS · slow,13.0
3065,"February 8, 1984",Anderson Mesa,E. Bowell,·,19.0
3066,"March 1, 1984",Anderson Mesa,E. Bowell,·,14.0
3067,"October 14, 1982",Nauchnij,"L. V. Zhuravleva , L. G. Karachkina",·,6.3
3068,"December 23, 1982",Nauchnij,L. G. Karachkina,·,6.5
3069,"October 16, 1982",Kleť,Z. Vávrová,NYS,4.7
3070,"April 4, 1949",Brooklyn,Indiana University,·,5.2
3071,"March 28, 1973",Nauchnij,T. M. Smirnova,THM,20.0
3072,"September 5, 1978",Nauchnij,N. S. Chernykh,(883),4.3
3073,"September 24, 1979",Nauchnij,N. S. Chernykh,moon,5.2
3074,"December 24, 1979",Nauchnij,L. V. Zhuravleva,·,9.9
3075,"March 1, 1981",Siding Spring,S. J. Bus,·,4.5
3076,"September 13, 1982",Harvard Observatory,Oak Ridge Observatory,moon,4.9
3077,"September 22, 1982",Anderson Mesa,E. Bowell,·,5.2
3078,"March 31, 1984",Anderson Mesa,E. Bowell,·,28.0
3079,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",·,6.7
3080,"October 3, 1935",Crimea-Simeis,P. F. Shajn,EUN,13.0
3081,"October 26, 1971",Hamburg-Bergedorf,L. Kohoutek,·,7.3
3082,"May 17, 1972",Nauchnij,T. M. Smirnova,·,18.0
3083,"June 17, 1974",El Leoncito,Félix Aguilar Observatory,·,3.6
3084,"August 19, 1977",Nauchnij,N. S. Chernykh,·,7.7
3085,"February 18, 1980",Harvard Observatory,Harvard Observatory,·,7.0
3086,"December 4, 1980",Anderson Mesa,E. Bowell,H,4.6
3087,"August 30, 1981",Lake Tekapo,"A. C. Gilmore , P. M. Kilmartin",·,6.6
3088,"October 24, 1981",Nanking,Purple Mountain,EOS ·,17.0
3089,"December 3, 1981",Nanking,Purple Mountain,·,36.0
3090,"January 4, 1982",Palomar,"Gibson, J.",VER,14.0
3091,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",NYS,4.3
3092,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",CYB,30.0
3093,"June 28, 1971",Nauchnij,T. M. Smirnova,EUN,13.0
3094,"March 23, 1979",Nauchnij,N. S. Chernykh,MAR,23.0
3095,"September 8, 1980",Nauchnij,L. V. Zhuravleva,CYB,30.0
3096,"August 28, 1981",Kleť,Z. Vávrová,ADE,17.0
3097,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",·,21.0
3098,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",·,3.6
3099,"April 3, 1940",Turku,Y. Väisälä,·,15.0
3100,"March 13, 1977",Nauchnij,N. S. Chernykh,·,5.3
3101,"April 11, 1978",Palomar,"E. F. Helin , G. Grueff , Wall, J. V.",H,3.4
3102,"August 21, 1981",Kleť,L. Brožek,AMO + 1 km (0.62 mi) · slow,1.6
3103,"January 20, 1982",Piszkéstető,M. Lovas,APO +1 km (0.62 mi),1.5
3104,"January 24, 1982",Anderson Mesa,E. Bowell,·,17.0
3105,"August 8, 1907",Heidelberg,A. Kopff,·,7.0
3106,"March 9, 1981",Anderson Mesa,E. Bowell,·,26.0
3107,"May 5, 1981",Palomar,C. S. Shoemaker,·,5.8
3108,"August 18, 1972",Nauchnij,L. V. Zhuravleva,·,4.4
3109,"February 19, 1974",Hamburg-Bergedorf,L. Kohoutek,·,24.0
3110,"September 28, 1975",Anderson Mesa,H. L. Giclas,(5),8.0
3111,"February 19, 1977",Kiso,"H. Kosai , K. Furukawa",·,4.6
3112,"August 22, 1977",Nauchnij,N. S. Chernykh,·,13.0
3113,"September 1, 1978",Nauchnij,N. S. Chernykh,·,4.9
3114,"March 19, 1980",Cerro El Roble,University of Chile,NYS,5.0
3115,"August 3, 1981",Anderson Mesa,E. Bowell,·,17.0
3116,"February 11, 1983",Anderson Mesa,E. Bowell,·,7.8
3117,"February 11, 1983",Anderson Mesa,N. G. Thomas,KOR,10.0
3118,"July 19, 1974",El Leoncito,Félix Aguilar Observatory,·,37.0
3119,"December 30, 1972",Nauchnij,T. M. Smirnova,·,16.0
3120,"September 14, 1979",Nauchnij,N. S. Chernykh,·,15.0
3121,"March 2, 1981",La Silla,"H. Debehogne , G. de Sanctis",·,6.1
3122,"March 2, 1981",Siding Spring,S. J. Bus,AMO + 1 km (0.62 mi) · PHA · moon,4.9
3123,"August 30, 1981",Anderson Mesa,E. Bowell,slow,12.0
3124,"November 3, 1981",Kitt Peak,D. J. Tholen,PAD,11.0
3125,"January 24, 1982",Anderson Mesa,E. Bowell,·,15.0
3126,"October 8, 1969",Nauchnij,L. I. Chernykh,EOS,14.0
3127,"September 27, 1973",Nauchnij,L. I. Chernykh,·,8.4
3128,"March 23, 1979",Nauchnij,N. S. Chernykh,THM,20.0
